"module name","license","repository","license URL","parent path"
"abbrev@1.0.7","ISC","git+ssh://git@github.com/isaacs/abbrev-js","git+ssh://git@github.com/isaacs/abbrev-js/raw/master/LICENSE","nopt:node-pre-gyp:fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"abbrev@1.0.9","ISC","git+ssh://git@github.com/isaacs/abbrev-js","git+ssh://git@github.com/isaacs/abbrev-js/raw/master/LICENSE","nopt:touch:nodemon:gulp-nodemon:HelpNow"
"accepts@1.2.13","MIT","git+https://github.com/jshttp/accepts","git+https://github.com/jshttp/accepts/raw/master/LICENSE","express:HelpNow"
"addressparser@1.0.1","MIT","git+https://github.com/andris9/addressparser","git+https://github.com/andris9/addressparser/raw/master/LICENSE","buildmail:mailcomposer:nodemailer:HelpNow"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text","https://github.com/jonschlinkert/align-text/raw/master/LICENSE","center-align:cliui:yargs:uglify-js:gulp-uglify:HelpNow"
"amdefine@1.0.0","BSD-3-Clause AND MIT","git+https://github.com/jrburke/amdefine","git+https://github.com/jrburke/amdefine/raw/master/LICENSE","source-map:postcss:myth:gulp-myth:HelpNow"
"ansi-regex@2.0.0","MIT","git+https://github.com/sindresorhus/ansi-regex","git+https://github.com/sindresorhus/ansi-regex/raw/master/license","has-ansi:chalk:gulp:HelpNow"
"ansi-styles@2.2.1","MIT","git+https://github.com/chalk/ansi-styles","git+https://github.com/chalk/ansi-styles/raw/master/license","chalk:gulp:HelpNow"
"ansi@0.3.1","MIT","https://github.com/TooTallNate/ansi.js","https://github.com/TooTallNate/ansi.js/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"anymatch@1.3.0","ISC","git+https://github.com/es128/anymatch","git+https://github.com/es128/anymatch/raw/master/LICENSE","chokidar:nodemon:gulp-nodemon:HelpNow"
"archy@1.0.0","MIT","git+ssh://git@github.com/substack/node-archy","git+ssh://git@github.com/substack/node-archy/raw/master/LICENSE","gulp:HelpNow"
"are-we-there-yet@1.1.2","ISC","git+https://github.com/iarna/are-we-there-yet","git+https://github.com/iarna/are-we-there-yet/raw/master/LICENSE","fsevents:chokidar:nodemon:gulp-nodemon:HelpNow"
"arr-diff@2.0.0","MIT","git+https://github.com/jonschlinkert/arr-diff","git+https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","micromatch:findup-sync:liftoff:gulp:HelpNow"
"arr-flatten@1.0.1","MIT","https://github.com/jonschlinkert/arr-flatten","https://github.com/jonschlinkert/arr-flatten/blob/master/LICENSE","arr-diff:micromatch:findup-sync:liftoff:gulp:HelpNow"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ","https://github.com/sindresorhus/array-differ","gulp-util:gulp:HelpNow"
"array-find-index@1.0.1","MIT","git+https://github.com/sindresorhus/array-find-index","git+https://github.com/sindresorhus/array-find-index/raw/master/license","currently-unhandled:loud-rejection:meow:dateformat:gulp-util:gulp:HelpNow"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten","https://github.com/blakeembrey/array-flatten/raw/master/LICENSE","express:HelpNow"
"array-uniq@1.0.3","MIT","git+https://github.com/sindresorhus/array-uniq","git+https://github.com/sindresorhus/array-uniq/raw/master/license","gulp-util:gulp:HelpNow"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/blob/master/LICENSE","micromatch:findup-sync:liftoff:gulp:HelpNow"
"arrify@1.0.1","MIT","git+https://github.com/sindresorhus/arrify","git+https://github.com/sindresorhus/arrify/raw/master/license","anymatch:chokidar:nodemon:gulp-nodemon:HelpNow"
